127.0.0.1 - - [30/Nov/2023:09:16:16 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:16 +0900] "GET /jsptest/Login HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:27 +0900] "POST /jsptest/lck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:27 +0900] "GET /jsptest/Login HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:28 +0900] "GET /jsptest/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:28 +0900] "GET /jsptest/Login HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:29 +0900] "POST /jsptest/ca HTTP/1.1" 200 19
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:52 +0900] "POST /jsptest/lck HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:52 +0900] "GET /jsptest/Login HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:53 +0900] "GET /jsptest/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:53 +0900] "GET /jsptest/Login HTTP/1.1" 200 492
0:0:0:0:0:0:0:1 - - [30/Nov/2023:09:16:54 +0900] "POST /jsptest/ca HTTP/1.1" 200 19
